Date,Dollar_Exchange_Rate,Monthly_Change,12-Month_Change
2021-07-20,44.0,0.227790432801811,0.686498855835227
2021-07-21,43.900000000000006,-0.2272727272727093,0.22831050228313554
2021-07-22,43.8,-0.2277904328018443,0.11428571428571122
2021-07-23,43.7,-0.22831050228309113,-0.4555808656036553
2021-07-26,43.75,0.11441647597252302,-0.6810442678774065
2021-07-27,43.8,0.11428571428571122,-0.34129692832766123
2021-07-28,43.8,0.0,-0.11402508551880963
2021-07-29,43.75,-0.11415525114154557,-0.4550625711035372
2021-07-30,43.7,-0.11428571428571122,-0.5688282138794132
2021-08-02,43.7,0.0,-0.3420752565564178
2021-08-03,43.599999999999994,-0.22883295194510156,-0.6154547526783904
2021-08-04,43.650000000000006,0.11467889908258755,-0.5694760820045608
2021-08-05,43.75,0.22909507445587618,-0.5681818181818232
2021-08-06,43.7,-0.11428571428571122,-0.4555808656036553
2021-08-09,43.7,0.0,-0.22831050228309113
2021-08-10,43.650000000000006,-0.11441647597253413,-0.11441647597253413
2021-08-11,43.650000000000006,0.0,-0.22857142857141133
2021-08-12,43.55,-0.2290950744559206,-0.5707762557077611
2021-08-13,43.349999999999994,-0.4592422502870286,-1.0273972602739767
2021-08-16,43.3,-0.11534025374855261,-1.0285714285714342
2021-08-17,43.25,-0.11547344110853786,-1.0297482837528626
2021-08-18,43.150000000000006,-0.23121387283235872,-1.258581235697931
2021-08-19,43.150000000000006,0.0,-1.032110091743088
2021-08-20,43.2,0.11587485515642815,-1.0309278350515538
2021-08-23,43.150000000000006,-0.11574074074073293,-1.3714285714285568
2021-08-24,42.95,-0.4634994206257348,-1.7162471395881007
2021-08-26,42.8,-0.34924330616997734,-2.0594965675057364
2021-08-27,42.55,-0.5841121495327117,-2.5200458190149155
2021-08-30,42.55,0.0,-2.5200458190149155
2021-08-31,42.400000000000006,-0.3525264394829364,-2.640642939150384
2021-09-01,42.5,0.2358490566037652,-1.9607843137254721
2021-09-02,42.55,0.11764705882353343,-1.7321016166281789
2021-09-03,42.599999999999994,0.11750881316097139,-1.5028901734104205
2021-09-06,42.7,0.23474178403757318,-1.0428736964078866
2021-09-07,42.599999999999994,-0.23419203747074846,-1.2746234067207651
2021-09-08,42.599999999999994,0.0,-1.3888888888889062
2021-09-09,42.45,-0.35211267605631535,-1.6222479721900385
2021-09-10,42.7,0.5889281507656108,-0.5820721769499437
2021-09-13,42.75,0.11709601873535203,-0.1168224299065379
2021-09-14,42.75,0.0,0.4700352526439522
2021-09-15,42.650000000000006,-0.23391812865495298,0.2350176263219872
2021-09-16,42.650000000000006,0.0,0.5896226415094352
2021-09-17,42.599999999999994,-0.11723329425559204,0.23529411764704466
2021-09-20,42.7,0.23474178403757318,0.3525264394829808
