date,dollar_exchange_rate,day_name,month_name,day,month,year,daily_change,monthly_change,yearly_change
2018-12-10,32.11,Monday,December,10.0,12.0,2018.0,0.0,-1.5030674846625613,10.609714088873574
2018-12-11,32.19,Tuesday,December,11.0,12.0,2018.0,0.24914356898162035,-1.2576687116564316,11.230131306150644
2018-12-12,32.19,Wednesday,December,12.0,12.0,2018.0,0.0,-1.0451890562557744,11.384083044982697
2018-12-13,32.22,Thursday,December,13.0,12.0,2018.0,0.0931966449207864,-1.074608535462086,11.487889273356403
2018-12-14,32.26,Friday,December,14.0,12.0,2018.0,0.12414649286157402,-1.4961832061068763,12.013888888888879
2018-12-17,32.269999999999996,Monday,December,17.0,12.0,2018.0,0.03099814011158714,-1.0122699386503018,12.360724233983278
2018-12-18,32.22,Tuesday,December,18.0,12.0,2018.0,-0.1549426712116429,-1.1656441717791275,12.264808362369337
2018-12-19,32.2,Wednesday,December,19.0,12.0,2018.0,-0.06207324643077598,-0.8620689655172449,11.883252258512861
2018-12-20,32.22,Thursday,December,20.0,12.0,2018.0,0.062111801242223666,-0.8615384615384649,11.952744961779004
2018-12-21,32.230000000000004,Friday,December,21.0,12.0,2018.0,0.031036623215410043,-0.8307692307692185,12.026416405978466
2018-12-24,32.239999999999995,Monday,December,24.0,12.0,2018.0,0.031026993484303145,-0.4323656578134669,11.750433275563235
2018-12-26,32.25,Wednesday,December,26.0,12.0,2018.0,0.03101736972706302,-0.4629629629629586,12.134909596662025
2018-12-27,32.3,Thursday,December,27.0,12.0,2018.0,0.15503875968991368,-0.6153846153846242,12.152777777777764
2018-12-28,32.349999999999994,Friday,December,28.0,12.0,2018.0,0.15479876160989833,-0.3695719125346614,12.443517553006586
2018-12-31,32.4,Monday,December,31.0,12.0,2018.0,0.1545595054095959,1.0289990645462996,12.558624283480974
2019-01-02,32.349999999999994,Wednesday,January,2.0,1.0,2019.0,-0.15432098765433416,0.528278433809803,12.717770034843173
2019-01-03,32.45,Thursday,January,3.0,1.0,2019.0,0.3091190108191918,1.6285624804259415,13.145048814504893
2019-01-04,32.44,Friday,January,4.0,1.0,2019.0,-0.030816640986148277,1.374999999999993,13.307719175689817
2019-01-07,32.5,Monday,January,7.0,1.0,2019.0,0.18495684340321294,1.2145748987854268,13.63636363636363
2019-01-08,32.5,Tuesday,January,8.0,1.0,2019.0,0.0,1.2145748987854268,13.596644529884658
2019-01-09,32.56,Wednesday,January,9.0,1.0,2019.0,0.18461538461539162,1.4014325755216532,13.766596785464728
2019-01-10,32.61,Thursday,January,10.0,1.0,2019.0,0.1535626535626448,1.3047530288909652,13.782274947662247
2019-01-11,32.8,Friday,January,11.0,1.0,2019.0,0.5826433609322225,1.894998446722583,14.565141460006966
2019-01-14,32.760000000000005,Monday,January,14.0,1.0,2019.0,-0.12195121951217087,1.5499070055796875,14.625612316305133
